altitude_from_station_meta_data;altitude_from_DTM_sampling;station_id;difference
839;838.5;2483;0.5
610;612.2;390;-2.2
457;457.3;6264;-0.3
443;441.8;4488;1.2
440;439.9;6313;0.1
436;433.5;389;2.5
418;416.8;5468;1.2
412;413.4;796;-1.4
387;388;3098;-1
386;387.8;13713;-1.8
375;374.9;3215;0.1
370;370.4;4313;-0.4
360;360.3;5619;-0.3
351;354.8;1300;-3.8
347;346.5;4127;0.5
331;331.6;5360;-0.6
312;311.7;5699;0.3
298;298.1;216;-0.1
292;293.7;3499;-1.7
286;287;2947;-1
236;236.1;5347;-0.1
235;235.1;6276;-0.1
229;229;4692;0
206;205;613;1
205;203.9;13700;1.1
171;170.5;4400;0.5
159;158.8;7330;0.2
157;156.8;3028;0.2
150;150.2;644;-0.2
92;93.4;3031;-1.4
93;92.1;4368;0.9
88;87.7;934;0.3
85;84.6;5480;0.4
